Mob Name,Skyblock Types
Ent,Aquatic; Woodland
Explosive Imp,Infernal; Undead
Fels,Arcane
Field Mouse,Elusive; Pest
Fiery Scuttler,Animal; Elusive; Magmatic
Fire Eel,Animal; Magmatic
Firefly,Pest
Fireproof Witch,Arcane; Humanoid; Magmatic
Flaming Spider,Arthropod; Infernal
Flaming Worm,Arthropod; Magmatic
Flare,Infernal
Flare Demon,Infernal; Boss
Flint Skeleton,Skeletal
Flipflopper,Animal; Aquatic; Elusive
Fly,Pest
Fried Chicken,Animal; Magmatic
Frog Man,Animal; Aquatic; Humanoid
Frog Prince,Animal; Aquatic; Elusive
Frosty,Aquatic; Construct; Frozen
Frozen Adventurer,Humanoid; Frozen; Boss
Frozen Steve,Aquatic; Frozen; Humanoid
Gaia Construct,Construct; Mythological
Ghast,Airborne; Cubic
Ghost,Arcane; Subterranean
Glacite Bowman,Glacial; Humanoid
Glacite Caver,Glacial; Humanoid
Glacite Mage,Glacial; Humanoid
Glacite Mutt,Animal; Glacial
Glacite Walker,Glacial; Humanoid
Goblin,Humanoid; Subterranean
Goblin Raiders,Humanoid; Subterranean
Golden Ghoul,Undead
Golden Goblin,Humanoid; Shielded
Golden Jerry,Elusive; Humanoid; Shielded
Golem,Arcane; Construct
gorF,Animal; Aquatic; Arcane
Gravel Skeleton,Skeletal
Graveyard Zombie,Undead
Great White Shark,Animal; Aquatic; Elusive
Green Jerry,Humanoid; Shielded
Grim Reaper,Aquatic; Arcane; Spooky
Grinch,Aquatic; Construct; Frozen
Grunt,Humanoid
Guardian Defender,Aquatic; Arcane
Harpy,Animal; Humanoid; Mythological
Headless Horseman,Animal; Skeletal; Spooky; Undead
Howling Spirit,Animal; Arcane
Hydrospear,Aquatic; Undead; Woodland
Inferno Demonlord,Infernal; Boss
Inferno Magma Cube,Cubic; Infernal
Inkling,Animal; Aquatic
Jumpin' Jack,Aquatic; Spooky
Kada Knight,Animal; Undead
Key Guardian,Subterranean; Undead
Kindleheart Demon,Infernal; Boss
King Midas,Humanoid; Boss
King Minos,Elusive; Humanoid; Mythological
Kuudra Berserker,Infernal; Undead
Kuudra Follower,Infernal; Undead
Kuudra Knocker,Infernal; Undead
Kuudra Landmine,Infernal; Undead
Kuudra Slasher,Cubic; Infernal
Lapis Zombie,Undead
Lava Blaze,Infernal; Magmatic
Lava Flame,Infernal; Magmatic
Lava Leech,Arthropod; Magmatic
Lava Pigman,Magmatic; Undead
Littlefoot,Elusive; Glacial; Humanoid
Locust,Pest
Lonely Spider,Arthropod
Lord Jawbus,Construct; Elusive; Magmatic
Lost Adventurer,Arcane; Humanoid; Boss
Lotum,Animal; Aquatic
Lotus Guardian,Aquatic; Construct
Lotusfish,Animal; Aquatic
Lunar Moth,Elusive; Pest
Mage Outlaw,Arcane; Humanoid
Magma Boss,Cubic; Infernal
Magma Cube,Cubic; Infernal
Magma Cube Rider,Cubic; Infernal; Undead
Magma Follower,Cubic; Infernal
Magma Pillar,Cubic; Magmatic
Magma Slug,Cubic; Magmatic
Manta Ray,Animal; Aquatic
Manticore,Animal; Elusive; Mythological
Matcho,Humanoid; Infernal
Mega Bat,Airborne; Shielded; Spooky
Millennia-Aged Blaze,Infernal; Subterranean
Mimic,Arcane; Construct; Undead
Miner Skeleton,Skeletal
Miner Zombie,Undead
Minos Champion,Humanoid; Mythological
Minos Hunter,Humanoid; Mythological; Undead
Minos Inquisitor,Elusive; Humanoid; Mythological
Minotaur,Humanoid; Mythological
Mite,Pest
Mithril Grubber,Aquatic; Arthropod
Moogma,Animal; Magmatic
Mosquito,Pest
Moth,Pest
Mushroom Bull,Animal
Mushroom Cow,Animal
Mutant Tarantula,Arthropod; Boss
Mutated Blaze,Infernal
Nessie,Animal; Aquatic; Elusive
Nest Endermite,Arthropod; Ender
Nightmare,Aquatic; Spooky; Undead
Nurse Shark,Animal; Aquatic
Nutcracker,Aquatic; Construct; Frozen
Oasis Rabbit,Animal; Aquatic
Oasis Sheep,Animal; Aquatic
Obsidian Defender,Ender; Wither
Old Dragon,Airborne; Arcane; Ender
Old Wolf,Animal
Pack Enforcer,Animal; Boss
Pack Spirit,Animal; Arcane
Phantom Fisher,Aquatic; Arcane; Spooky
Phantom Spirit,Shielded; Spooky
Pig,Animal
Plhlegblast,Elusive; Magmatic
Poisoned Water Worm,Aquatic; Arthropod; Subterranean
Powder Ghast,Airborne; Cubic; Shielded
Praying Mantis,Pest
Protector Dragon,Airborne; Arcane; Ender
Puddle Jumper,Animal; Aquatic; Elusive
Purple Jerry,Humanoid; Shielded
Pyroclastic Worm,Cubic; Magmatic
Quazii,Skeletal; Boss
Rabbit,Animal
Ragnarok,Elusive; Magmatic; Skeletal
Rain Slime,Cubic
Rat,Pest
Redstone Pigman,Undead
Redstone Warrior,Humanoid; Arcane; Boss
Reindrake,Elusive; Frozen; Shielded
Revenant Champion,Undead; Boss
Revenant Horror,Undead; Boss
Revenant Sycophant,Undead; Boss
Rider of the Deep,Animal; Aquatic; Undead
Scarecrow,Aquatic; Spooky
Scared Skeleton,Skeletal
Scary Jerry,Shielded; Spooky
Scatha,Elusive; Shielded; Subterranean
Sea Archer,Aquatic; Skeletal
Sea Guardian,Aquatic; Arcane
Sea Leech,Animal; Aquatic
Sea Walker,Aquatic; Undead
Sea Witch,Aquatic; Arcane; Humanoid
Seashine,Animal; Aquatic; Elusive
Seer,Ender
Shadow Assassin,Arcane; Humanoid; Boss
Sheep,Animal
Shiny Pig,Animal
Siamese Lynxes,Animal; Mythological
Silverfish,Arthropod
Skeleton,Skeletal
Skeleton Grunt,Skeletal
Skeleton Lord,Skeletal
Skeleton Master,Skeletal
Skeleton Soldier,Skeletal
Skeletor,Construct; Skeletal
Slime,Cubic
Sludge,Cubic; Subterranean
Slug,Pest
Smoldering Blaze,Infernal
Snapping Turtle,Animal; Aquatic
Sneaky Creeper,Cubic
Sniper,Skeletal; Undead
Soul of the Alpha,Animal; Arcane
Special Zealot,Elusive; Ender
Sphinx,Elusive; Humanoid; Mythological
Spider,Arthropod
Spider Jockey,Arthropod; Skeletal
Spirit Bear,Animal; Boss
Splitter Spider,Arthropod
Squid,Animal; Aquatic
Star Sentry,Arcane; Construct; Shielded
Stranded Nymph,Aquatic; Humanoid; Mythological
Stridersurfer,Magmatic; Undead; Woodland
Strong Dragon,Airborne; Arcane; Ender
Super Archer,Skeletal
Super Tank Zombie,Undead
Superior Dragon,Airborne; Arcane; Ender
Sven Alpha,Animal; Boss
Sven Follower,Animal; Boss
Sven Packmaster,Animal; Boss
Tadgang,Animal; Aquatic
Tank Zombie,Undead
Tarantula Beast,Arthropod; Boss
Tarantula Broodfather,Arthropod; Boss
Tarantula Vermin,Arthropod; Boss
Taurus,Animal; Humanoid; Magmatic
Tentacle,Cubic; Infernal
Terracotta,Arcane; Construct
Tewtil,Animal; Aquatic
The Loch Emperor,Aquatic; Arcane; Skeletal
The Watcher,Arcane; Boss
Thunder,Arcane; Elusive; Magmatic
Thyst,Arthropod; Subterranean
Tidetot,Aquatic; Undead; Woodland
Tiger Shark,Animal; Aquatic
Timestalk Clone,
Titanoboa,Animal; Aquatic; Elusive
Trash Gobbler,Aquatic; Arthropod
Treasure Hoarder,Humanoid; Subterranean
Trick or Treater,Shielded; Spooky
Typhoeus,Wither; Boss
Undead,Undead
Undead Skeleton,Skeletal; Undead
Unstable Dragon,Airborne; Arcane; Ender
Vanquisher,Elusive; Wither
Vittomite,Arthropod; Ender
Voidcrazed Maniac,Ender; Boss
Voidgloom Seraph,Ender; Boss
Voidling,Ender
Voidling Devotee,Ender; Boss
Voidling Extremist,Ender
Voidling Fanatic,Ender
Voidling Radical,Ender; Boss
Volcanic Snail,Animal; Magmatic
Voracious Spider,Arthropod
Wandering Blaze,Infernal
Water Hydra,Animal; Aquatic; Elusive
Water Worm,Aquatic; Subterranean
Weaver Spider,Arthropod
Werewolf,Animal; Aquatic; Spooky
Wetwing,Animal; Aquatic; Undead
Wiki Tiki,Aquatic; Construct; Elusive
Wise Dragon,Airborne; Arcane; Ender
Witch,Arcane; Humanoid
Wither Gourd,Shielded; Spooky
Wither Guard,Skeletal; Wither
Wither Husk,
Wither Miner,Skeletal; Wither
Wither Sentry,Construct; Wither
Wither Skeleton,Skeletal; Wither
Wither Spectre,Arcane; Wither
Withermancer,Arcane; Skeletal; Wither
Wolf,Animal
Worm,Shielded; Subterranean
Wraith,Shielded; Spooky
Yeti,Aquatic; Frozen; Humanoid
Yog,Cubic; Infernal; Subterranean
Young Dragon,Airborne; Arcane; Ender
Zealot,Ender
Zealot Bruiser,Ender
Zombie,Undead
Zombie Commander,Undead
Zombie Grunt,Undead
Zombie Knight,Undead
Zombie Lord,Undead
Zombie Soldier,Undead
Zombie Villager,Undead
Zombuddy,Shielded
